read3199 51843 0.01820920308185452 0.0 0.034 0.0 0.0 read9796
read2295 51843 0.0 0.0 0.0 0.0 0.0
read16501 51843 0.022000501765829746 0.0 0.02 0.0 0.0 read11372
read1195 51815 0.014637949517590879 0.01 0.0 0.02 0.0 read2433
read7966 51815 0.020792710002509797 0.038 0.028 0.04 0.02 read10743
read17537 51788 0.02076178279682558 0.00398406374501992 0.008 0.0 0.01 read8332
read9605 51788 0.02764047992866973 0.004 0.032 0.04 0.02 read5209
read2900 51788 0.02786588569538228 0.018 0.024 0.01 0.02 read5209
read15463 51788 0.003148176761433869 0.0 0.0 0.0 0.02 read9828
read12935 51788 9.081423658074739E-4 0.0 0.0 0.0 0.0 read15929
read8131 51462 0.0024104348502225763 0.0 0.0 0.0 0.0 read9828
read15232 51462 0.01283647113738914 0.002 0.0 0.0 0.0 read7968
read4650 51080 0.024989677749159472 0.022 0.004 0.03 0.0 read8332
read5705 51080 0.021166924720224214 0.0 0.024 0.0 0.0 read7968
read16362 50721 0.024794859120118636 0.068 0.0 0.0 0.0 read5493
read10158 50721 0.013236280427664024 0.024 0.0 0.02 0.0 read9871
read410 50142 0.014393228594813647 0.01 0.0 0.03 0.0 read12309
read11640 50142 0.01640653067741807 0.024 0.0 0.03 0.0 read11879
read41 50097 0.01728985099803205 0.014 0.0 0.0 0.0 read4247
read4759 50097 0.022302374511571986 0.03 0.066 0.07 0.13 read16658
read4921 50097 0.02105242112839378 0.0 0.016 0.01 0.0 read16356
read3120 49919 0.024806014553933983 0.02 0.04 0.07 0.17 read12531
read12235 49919 0.0015504863854551632 0.0 0.0 0.0 0.02 read2433
read9582 49919 0.023707242652962902 0.0 0.01 0.0 0.01 read16356
read2836 49919 0.01725698425149339 0.0 0.046 0.0 0.0 read5511
read4966 49006 0.004349246538979867 0.0 0.054 0.0 0.0 read4819
read10772 49006 0.0012672457843638221 0.0 0.002 0.0 0.02 read14907
read11166 49006 0.015393409824016985 0.018 0.0 0.0 0.0 read10158
read3881 48269 0.025042710112921373 0.03 0.002 0.02 0.0 read5030
read10241 48269 0.019455496073489283 0.03 0.002 0.01 0.05 read12003
read6607 48269 0.0011226377829982744 0.0 0.0 0.0 0.0 read8137
read8726 48269 0.018331121433311216 0.0 0.016 0.0 0.01 read9871
read16807 47932 0.023328668991875693 0.016 0.0 0.03 0.0 read11595
read11976 47932 0.017385678208419426 0.0 0.0 0.0 0.02 read11879
read4900 47927 0.005275940038522737 0.0 0.0 0.01 0.02 read1110
read16555 47927 0.02691081466565987 0.064 0.038 0.03 0.0 read4650
read3633 47927 0.020658826478390742 0.0 0.008 0.0 0.02 read6894
read6536 47927 0.0030495446570306625 0.0 0.0 0.0 0.01 read1110
read12641 47897 0.008611860119980769 0.0 0.036 0.0 0.06 read14366
